Action,TimeOfAction
Strafe Dribble,17:04:16.352169
Ground Pass/Header,17:04:17.916463
Ground Pass/Header,17:04:18.901039
Ground Pass/Header,17:04:21.440661
Ground Pass/Header,17:04:22.524754
Shield/Jockey,17:04:23.523192
Strafe Dribble,17:04:23.645005
Strafe Dribble (Lock Face Angle),17:04:23.685687
Strafe Dribble,17:04:24.235101
Shield/Jockey,17:04:25.074013
Strafe Dribble,17:04:25.257549
Strafe Dribble,17:04:25.418480
Slow Dribble,17:04:25.705739
Slow Dribble,17:04:25.740248
Slow Dribble,17:04:26.512686
Slow Dribble,17:04:26.766577
Slow Dribble,17:04:27.082662
Slow Dribble,17:04:27.716671
Slow Dribble,17:04:29.486299
Slow Dribble,17:04:29.788296
Strafe Dribble (Lock Face Angle),17:04:29.894253
Strafe Dribble,17:04:31.484491
Slow Dribble,17:04:34.654241
Slow Dribble,17:04:34.732344
Strafe Dribble (Lock Face Angle),17:04:35.088463
Ground Pass/Header,17:04:35.790319
Ground Pass/Header,17:04:38.666089
Driven Ground Pass,17:04:38.716947
Ground Pass/Header,17:04:40.665406
Strafe Dribble,17:04:42.828731
Strafe Dribble,17:04:42.920354
Fake Shot,17:04:43.307776
Ground Pass/Header,17:04:44.685714
Strafe Dribble,17:04:46.185210
Strafe Dribble,17:04:46.848117
Strafe Dribble,17:04:49.183718
Ground Pass/Header,17:04:52.823215
Strafe Dribble,17:04:53.844064
Pass and Go,17:04:53.884787
Strafe Dribble,17:04:54.776823
Pass and Go,17:04:54.787042
Strafe Dribble,17:04:55.792137
Pass and Go,17:04:55.802354
Ground Pass/Header,17:04:56.629867
Pass and Go,17:04:56.640058
Strafe Dribble,17:04:57.253000
Pass and Go,17:04:57.275486
Strafe Dribble,17:04:58.348930
Pass and Go,17:04:58.353019
Strafe Dribble,17:04:59.298053
Pass and Go,17:04:59.316324
Strafe Dribble,17:05:00.468978
Shoot/Volley/Header,17:05:01.868977
Protect Ball,17:05:05.201400
Strafe Dribble,17:05:17.931166
Strafe Dribble,17:05:18.208290
Strafe Dribble,17:05:23.615210
First Touch/Knock-On,17:05:25.810261
Slow Dribble,17:05:25.849594
First Touch/Knock-On,17:05:29.048534
Strafe Dribble,17:05:30.050674
Strafe Dribble (Lock Face Angle),17:05:30.110365
Ground Pass/Header,17:05:31.668401
Strafe Dribble,17:05:33.634725
Pass and Go,17:05:33.644942
Stop Ball,17:05:34.328829
Ground Pass/Header,17:05:35.428593
Protect Ball,17:05:36.902205
Ground Pass/Header,17:05:41.580620
Shield/Jockey,17:05:42.915717
Lofted Through Pass,17:05:43.885261
Shield/Jockey,17:05:45.011000
Shield/Jockey,17:05:45.920487
Strafe Dribble,17:05:45.981627
Strafe Dribble,17:05:46.368897
Strafe Dribble,17:05:46.511764
Strafe Dribble,17:05:47.766520
Pass and Go,17:05:47.805212
Ground Pass/Header,17:05:48.877553
Ground Pass/Header,17:05:50.614166
Shield/Jockey,17:05:52.390590
Shield/Jockey,17:05:53.313875
Shield/Jockey,17:05:53.798298
Shield/Jockey,17:05:54.254224
Strafe Dribble,17:05:55.438843
Pass and Go,17:05:55.459304
Shoot/Volley/Header,17:05:56.873611
Shoot/Volley/Header,17:05:56.922168
Shoot/Volley/Header,17:06:21.298118
Stop Ball,17:06:25.072451
Ground Pass/Header,17:06:30.189583
Shield/Jockey,17:06:31.717739
Ground Pass/Header,17:06:32.496999
Ground Pass/Header,17:06:33.885635
Fake Pass,17:06:35.875857
Ground Pass/Header,17:06:37.134437
Pass and Go,17:06:37.138400
Strafe Dribble,17:06:38.037401
Shield/Jockey,17:06:38.366676
Fake Shot,17:06:40.018586
lofted Ground Pass,17:06:40.515719
Slow Dribble,17:06:41.484072
Strafe Dribble,17:06:41.962204
Shoot/Volley/Header,17:06:42.177067
Shoot/Volley/Header,17:06:43.327734
Strafe Dribble,17:06:45.395822
Shield/Jockey,17:06:45.565316
Slow Dribble,17:06:45.822178
Slow Dribble,17:06:45.958175
Strafe Dribble (Lock Face Angle),17:06:46.206249
Strafe Dribble (Lock Face Angle),17:06:50.406268
Slow Dribble,17:06:50.935889
Shoot/Volley/Header,17:06:51.243960
Slow Dribble,17:06:51.423960
Slow Dribble,17:06:53.509497
Strafe Dribble,17:06:53.670016
Through Pass,17:06:55.740688
Strafe Dribble (Lock Face Angle),17:06:57.876212
Finesse Shot,17:06:59.085691
Slow Dribble,17:07:00.073073
Finesse Shot,17:07:00.656555
Strafe Dribble,17:07:01.093952
Strafe Dribble,17:07:01.480335
Strafe Dribble,17:07:02.010849
Lob Pass/Cross/Header,17:07:03.712055
Strafe Dribble,17:07:04.210159
Lob Pass/Cross/Header,17:07:07.530422
lofted Ground Pass,17:07:11.345634
Ground Pass/Header,17:07:16.708537
Slow Dribble,17:07:16.890112
Slow Dribble,17:07:17.358306
Stop Ball,17:07:18.281550
Stop Ball,17:07:18.832383
Stop Ball,17:07:18.852599
Fake Pass,17:07:20.274642
Fake Pass,17:07:21.321171
lofted Ground Pass,17:07:22.292797
Ground Pass/Header,17:07:24.346093
Slow Dribble,17:07:25.798070
Strafe Dribble,17:07:26.253836
Pass and Go,17:07:26.263914
Strafe Dribble,17:07:27.396520
Slow Dribble,17:07:28.656259
Slow Dribble,17:07:28.968796
Slow Dribble,17:07:29.132011
Slow Dribble,17:07:29.235444
Slow Dribble,17:07:32.245670
Slow Dribble,17:07:32.480962
Slow Dribble,17:07:32.702936
Slow Dribble,17:07:33.093415
Slow Dribble,17:07:33.319627
Slow Dribble,17:07:33.521415
Slow Dribble,17:07:33.761517
Slow Dribble,17:07:33.966160
Slow Dribble,17:07:34.218157
Slow Dribble,17:07:34.454120
Lob Pass/Cross/Header,17:07:34.932015
Slow Dribble,17:07:35.055212
Slow Dribble,17:07:36.051549
Slow Dribble,17:07:36.081986
Strafe Dribble,17:07:38.627799
Strafe Dribble,17:07:38.716631
Slow Dribble,17:07:38.946100
Strafe Dribble (Lock Face Angle),17:07:39.158099
Slow Dribble,17:07:39.606529
Strafe Dribble,17:07:40.278860
Slow Dribble,17:07:40.678859
Lob Pass/Cross/Header,17:07:43.917136
Ground Pass/Header,17:07:46.350956
Pass and Go,17:07:46.367010
Through Pass,17:07:47.257177
Strafe Dribble,17:07:49.834137
Strafe Dribble,17:07:49.898605
Slow Dribble,17:07:50.556818
Strafe Dribble,17:07:50.827015
Strafe Dribble,17:07:52.475648
Pass and Go,17:07:52.495613
Strafe Dribble,17:07:54.222303
Pass and Go,17:07:54.226344
Pass and Go,17:07:54.673925
Pass and Go,17:07:54.681972
Lobbed Through Pass,17:07:55.974373
Pass and Go,17:07:56.321880
Lobbed Through Pass,17:07:57.786600
Pass and Go,17:07:58.282078
Pass and Go,17:07:59.246085
Strafe Dribble (Lock Face Angle),17:07:59.554120
Strafe Dribble (Lock Face Angle),17:08:00.586040
Pass and Go,17:08:00.906234
Strafe Dribble (Lock Face Angle),17:08:01.220376
Strafe Dribble (Lock Face Angle),17:08:01.504821
Pass and Go,17:08:12.673210
Strafe Dribble (Lock Face Angle),17:08:12.773210
Pass and Go,17:08:13.782161
Strafe Dribble (Lock Face Angle),17:08:14.024819
Strafe Dribble (Lock Face Angle),17:08:14.053110
Pass and Go,17:08:17.193140
Pass and Go,17:08:18.132360
Pass and Go,17:08:18.672235
Pass and Go,17:08:19.431754
Strafe Dribble (Lock Face Angle),17:08:19.714959
Strafe Dribble (Lock Face Angle),17:08:21.330279
Strafe Dribble (Lock Face Angle),17:08:21.454279
Strafe Dribble (Lock Face Angle),17:08:21.758109
Strafe Dribble (Lock Face Angle),17:08:22.815009
Pass and Go,17:08:25.435273
Pass and Go,17:08:28.779419
Pass and Go,17:08:28.795485
Pass and Go,17:08:30.444614
Pass and Go,17:08:32.753447
Pass and Go,17:08:33.544250
Chip Shot,17:08:35.410051
Chip Shot,17:08:35.602050
Pass and Go,17:08:36.306287
Strafe Dribble (Lock Face Angle),17:08:36.397511
Strafe Dribble (Lock Face Angle),17:08:36.912082
Strafe Dribble (Lock Face Angle),17:08:37.120082
Pass and Go,17:08:38.800240
Pass and Go,17:08:39.378587
Strafe Dribble (Lock Face Angle),17:08:39.689458
Pass and Go,17:08:40.598117
Pass and Go,17:08:40.950097
Strafe Dribble (Lock Face Angle),17:08:41.638391
Pass and Go,17:08:42.638043
Pass and Go,17:08:43.861544
Strafe Dribble (Lock Face Angle),17:08:44.003920
Strafe Dribble (Lock Face Angle),17:08:44.208788
Strafe Dribble (Lock Face Angle),17:08:44.790806
Strafe Dribble (Lock Face Angle),17:08:45.042358
Pass and Go,17:08:45.658067
Pass and Go,17:08:46.082085
Pass and Go,17:08:46.853454
Pass and Go,17:08:48.020642
Pass and Go,17:08:49.088488
Pass and Go,17:08:50.059941
Pass and Go,17:08:50.380111
Strafe Dribble (Lock Face Angle),17:08:50.584206
Pass and Go,17:08:51.130098
Pass and Go,17:08:51.694068
Strafe Dribble (Lock Face Angle),17:08:51.914054
Pass and Go,17:08:52.682262
Chip Shot,17:08:52.988388
Strafe Dribble (Lock Face Angle),17:08:53.284397
Pass and Go,17:08:54.055894
Pass and Go,17:08:54.471821
Pass and Go,17:08:55.156111
Pass and Go,17:08:56.111981
Pass and Go,17:08:56.208202
Pass and Go,17:08:56.512219
Pass and Go,17:08:58.559979
Lobbed Through Pass,17:08:59.187603
Pass and Go,17:08:59.635512
Pass and Go,17:09:04.121819
Strafe Dribble (Lock Face Angle),17:09:04.131911
Pass and Go,17:09:04.495845
Strafe Dribble (Lock Face Angle),17:09:05.014598
Strafe Dribble (Lock Face Angle),17:09:07.445133
Offside Trap,17:09:07.832896
Strafe Dribble (Lock Face Angle),17:09:08.216802
Strafe Dribble (Lock Face Angle),17:09:08.430893
Strafe Dribble (Lock Face Angle),17:09:08.743749
Pass and Go,17:09:09.740248
Strafe Dribble (Lock Face Angle),17:09:09.982700
Strafe Dribble (Lock Face Angle),17:09:10.447890
Strafe Dribble (Lock Face Angle),17:09:11.053682
Strafe Dribble (Lock Face Angle),17:09:11.593774
Pass and Go,17:09:12.138053
Pass and Go,17:09:19.804724
Pass and Go,17:09:20.769709
Pass and Go,17:09:22.342008
Pass and Go,17:09:30.604103
Pass and Go,17:09:31.698768
