Type,SpecifiedButton,Pressed,TimePressed
Absolute,JOYSTICK_LEFT,RIGHT,10:24:10.226803
Key,BTN_SOUTH,1,10:24:10.713760
Key,BTN_SOUTH,0,10:24:10.853771
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:11.137649
Absolute,JOYSTICK_LEFT,UP,10:24:11.193789
Key,BTN_EAST,1,10:24:11.233785
Absolute,TRIGGER_RIGHT,NEUTRAL,10:24:11.241779
Key,BTN_SOUTH,1,10:24:11.297773
Key,BTN_EAST,0,10:24:11.298811
Key,BTN_SOUTH,0,10:24:11.437366
Absolute,JOYSTICK_RIGHT,LEFT,10:24:11.921779
Absolute,TRIGGER_RIGHT,PUSHED,10:24:11.997766
Absolute,TRIGGER_LEFT,PUSHED,10:24:12.005875
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:12.041777
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:12.073782
Key,BTN_TR,1,10:24:12.121570
Absolute,JOYSTICK_LEFT,RIGHT,10:24:12.277810
Absolute,JOYSTICK_RIGHT,DOWN_LEFT,10:24:12.697768
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:12.821825
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:24:12.905783
Absolute,JOYSTICK_RIGHT,DOWN_LEFT,10:24:13.213776
Absolute,JOYSTICK_LEFT,RIGHT,10:24:13.262805
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:13.321772
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:13.389782
Absolute,JOYSTICK_LEFT,UP,10:24:13.486771
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:14.853776
Absolute,JOYSTICK_LEFT,RIGHT,10:24:14.881658
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:24:14.985778
Absolute,JOYSTICK_RIGHT,LEFT,10:24:15.053769
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:24:15.157759
Absolute,JOYSTICK_LEFT,RIGHT,10:24:15.213778
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:24:15.369776
Key,BTN_TR,0,10:24:15.470808
Absolute,JOYSTICK_RIGHT,DOWN_LEFT,10:24:15.501781
