Type,SpecifiedButton,Pressed,TimePressed
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:49.663359
Key,BTN_TL,1,10:41:49.971376
Absolute,JOYSTICK_RIGHT,UP,10:41:49.975346
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:50.171319
Key,BTN_TL,0,10:41:50.195136
Key,BTN_TL,1,10:41:50.791387
Absolute,JOYSTICK_RIGHT,UP,10:41:50.807386
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:51.023394
Key,BTN_TL,0,10:41:51.035360
Key,BTN_TL,1,10:41:51.599176
Absolute,JOYSTICK_RIGHT,UP_LEFT,10:41:51.651292
Key,BTN_TL,0,10:41:51.815021
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:51.867335
Key,BTN_TL,1,10:41:52.295361
Absolute,JOYSTICK_RIGHT,UP,10:41:52.371390
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:52.630791
Absolute,JOYSTICK_RIGHT,UP,10:41:52.803179
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:52.983178
Absolute,JOYSTICK_RIGHT,UP,10:41:53.167359
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:53.383387
Absolute,JOYSTICK_RIGHT,UP,10:41:53.735911
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:53.939376
Absolute,JOYSTICK_RIGHT,LEFT,10:41:53.999319
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:54.339352
Absolute,JOYSTICK_RIGHT,DOWN,10:41:54.683143
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:54.915271
Absolute,JOYSTICK_RIGHT,DOWN,10:41:55.659392
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:55.827175
Key,BTN_TL,0,10:41:56.791403
Key,BTN_TL,1,10:41:58.881518
Absolute,JOYSTICK_RIGHT,RIGHT,10:41:59.143373
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:41:59.307334
Key,BTN_TL,0,10:41:59.443335
Key,BTN_TL,1,10:42:00.028417
Key,JOYSTICK_RIGHT_CLICK,1,10:42:00.047352
Key,JOYSTICK_RIGHT_CLICK,0,10:42:00.163235
Key,BTN_TL,0,10:42:00.235372
Key,BTN_EAST,1,10:42:01.028283
Key,BTN_SOUTH,1,10:42:01.095435
Key,BTN_EAST,0,10:42:01.107379
Key,BTN_SOUTH,0,10:42:01.239416
Key,JOYSTICK_RIGHT_CLICK,1,10:42:04.872327
Key,JOYSTICK_LEFT_CLICK,1,10:42:04.879394
Key,JOYSTICK_LEFT_CLICK,0,10:42:04.979394
Key,JOYSTICK_RIGHT_CLICK,0,10:42:04.983397
Key,JOYSTICK_LEFT_CLICK,1,10:42:08.479448
Key,JOYSTICK_RIGHT_CLICK,1,10:42:08.491375
Key,JOYSTICK_LEFT_CLICK,0,10:42:08.595387
Key,JOYSTICK_RIGHT_CLICK,0,10:42:08.615388
Key,JOYSTICK_LEFT_CLICK,1,10:42:09.284643
Key,JOYSTICK_RIGHT_CLICK,1,10:42:09.291409
Key,JOYSTICK_RIGHT_CLICK,0,10:42:09.403389
Key,JOYSTICK_LEFT_CLICK,0,10:42:09.411417
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:42:10.191201
Key,BTN_SOUTH,1,10:42:10.195219
Key,BTN_SOUTH,0,10:42:10.311258
Absolute,JOYSTICK_LEFT,NEUTRAL,10:42:10.491383
Key,JOYSTICK_RIGHT_CLICK,1,10:42:11.783410
Key,JOYSTICK_LEFT_CLICK,1,10:42:11.787423
Key,JOYSTICK_RIGHT_CLICK,0,10:42:11.887415
Key,JOYSTICK_LEFT_CLICK,0,10:42:11.891262
Key,JOYSTICK_LEFT_CLICK,1,10:42:13.515451
Key,JOYSTICK_RIGHT_CLICK,1,10:42:13.531458
Key,JOYSTICK_RIGHT_CLICK,0,10:42:13.631258
Key,JOYSTICK_LEFT_CLICK,0,10:42:13.635210
Key,BTN_SOUTH,1,10:42:13.991201
Key,BTN_SOUTH,0,10:42:14.127259
Key,JOYSTICK_RIGHT_CLICK,1,10:42:14.635153
Key,JOYSTICK_LEFT_CLICK,1,10:42:14.639386
Key,JOYSTICK_RIGHT_CLICK,0,10:42:14.735196
Key,JOYSTICK_LEFT_CLICK,0,10:42:14.743185
Key,JOYSTICK_LEFT_CLICK,1,10:42:16.743503
Key,JOYSTICK_RIGHT_CLICK,1,10:42:16.763425
Key,JOYSTICK_LEFT_CLICK,0,10:42:16.851406
Key,JOYSTICK_RIGHT_CLICK,0,10:42:16.867408
Absolute,JOYSTICK_RIGHT,UP_RIGHT,10:42:17.615416
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:42:17.759423
Key,BTN_SOUTH,1,10:42:18.915392
Key,BTN_SOUTH,0,10:42:19.027243
Key,JOYSTICK_RIGHT_CLICK,1,10:42:19.944475
Key,JOYSTICK_LEFT_CLICK,1,10:42:20.003438
Key,JOYSTICK_RIGHT_CLICK,0,10:42:20.063394
Key,JOYSTICK_LEFT_CLICK,0,10:42:20.083412
Key,JOYSTICK_RIGHT_CLICK,1,10:42:20.643511
Key,JOYSTICK_RIGHT_CLICK,0,10:42:20.735449
Absolute,TRIGGER_LEFT,PUSHED,10:42:25.447419
Key,BTN_TL,1,10:42:25.455439
Key,BTN_TR,1,10:42:25.459435
Absolute,TRIGGER_RIGHT,PUSHED,10:42:25.479454
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:42:26.083448
Key,BTN_TR,0,10:42:26.155439
Absolute,TRIGGER_RIGHT,NEUTRAL,10:42:26.187445
Absolute,TRIGGER_LEFT,NEUTRAL,10:42:26.187445
Key,BTN_TL,0,10:42:26.231416
Absolute,TRIGGER_LEFT,PUSHED,10:42:26.891408
Key,BTN_TL,1,10:42:26.899456
Key,BTN_TR,1,10:42:26.903449
Absolute,TRIGGER_RIGHT,PUSHED,10:42:26.907404
Absolute,JOYSTICK_LEFT,NEUTRAL,10:42:26.911448
Key,BTN_TR,0,10:42:27.631503
Absolute,TRIGGER_RIGHT,NEUTRAL,10:42:27.659451
Key,BTN_TL,0,10:42:27.679440
Absolute,TRIGGER_LEFT,NEUTRAL,10:42:27.683438
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:42:28.307011
Absolute,TRIGGER_RIGHT,PUSHED,10:42:28.499443
Absolute,JOYSTICK_LEFT,LEFT,10:42:28.703413
Absolute,JOYSTICK_LEFT,NEUTRAL,10:42:29.139401
Key,BTN_TR,1,10:42:29.139401
Absolute,TRIGGER_LEFT,PUSHED,10:42:29.155442
Key,BTN_TL,1,10:42:29.175403
Key,BTN_TR,0,10:42:29.671454
Key,BTN_TL,0,10:42:29.711410
Absolute,TRIGGER_LEFT,NEUTRAL,10:42:29.715429
Absolute,TRIGGER_RIGHT,NEUTRAL,10:42:29.767450
Absolute,JOYSTICK_LEFT,LEFT,10:42:29.951420
Absolute,TRIGGER_RIGHT,PUSHED,10:42:30.215431
Key,BTN_EAST,1,10:42:30.655452
Key,BTN_TL,1,10:42:30.815247
Absolute,TRIGGER_LEFT,PUSHED,10:42:30.827348
Absolute,JOYSTICK_LEFT,NEUTRAL,10:42:30.843329
