Action,TimeOfAction
Ground Pass/Header,16:51:00.939697
Ground Pass/Header,16:51:02.970469
Ground Pass/Header,16:51:04.752099
Driven Ground Pass,16:51:04.760061
Ground Pass/Header,16:51:07.566944
Through Pass,16:51:09.356649
Ground Pass/Header,16:51:10.573664
Ground Pass/Header,16:51:11.967897
Ground Pass/Header,16:51:12.909623
Ground Pass/Header,16:51:15.046872
Ground Pass/Header,16:51:15.901040
Ground Pass/Header,16:51:16.995279
Ground Pass/Header,16:51:18.002592
Driven Ground Pass,16:51:19.453330
Ground Pass/Header,16:51:20.855544
Strafe Dribble,16:51:22.549310
Pass and Go,16:51:22.559491
Ground Pass/Header,16:51:23.191664
Through Pass,16:51:24.373660
Strafe Dribble,16:51:28.351702
Strafe Dribble,16:51:29.579747
Shield/Jockey,16:51:30.835465
Shield/Jockey,16:51:30.937527
Shield/Jockey,16:51:31.877527
Ground Pass/Header,16:51:32.581682
Through Pass,16:51:33.382764
Through Pass,16:51:37.059218
Shoot/Volley/Header,16:51:38.182106
Chip Shot,16:51:38.189653
Shield/Jockey,16:51:40.697699
Shield/Jockey,16:51:42.217482
Slow Dribble,16:51:42.309234
Strafe Dribble,16:51:43.534666
lofted Ground Pass,16:51:44.057559
Ground Pass/Header,16:51:44.419638
Through Pass,16:51:45.482951
Ground Pass/Header,16:51:46.353498
Ground Pass/Header,16:51:47.277772
Shoot/Volley/Header,16:51:48.513517
Finesse Shot,16:51:48.517517
Strafe Dribble,16:51:50.102522
Strafe Dribble,16:51:50.151730
Strafe Dribble,16:51:51.062017
Shield/Jockey,16:51:51.583114
Slow Dribble,16:51:51.999945
Shield/Jockey,16:51:58.362075
Slow Dribble,16:51:59.139710
Shield/Jockey,16:52:01.696903
Slow Dribble,16:52:02.539899
Shield/Jockey,16:52:03.166971
Strafe Dribble,16:52:03.563553
Shield/Jockey,16:52:04.863560
Strafe Dribble,16:52:06.120060
Shield/Jockey,16:52:08.246689
Slow Dribble,16:52:08.821287
Shield/Jockey,16:52:11.254102
Shoot/Volley/Header,16:52:13.560076
Strafe Dribble,16:52:14.109598
Shoot/Volley/Header,16:52:17.397031
Shield/Jockey,16:52:18.047678
Shield/Jockey,16:52:19.803858
Slow Dribble,16:52:20.599138
Strafe Dribble,16:52:20.825637
Shield/Jockey,16:52:21.565479
Strafe Dribble,16:52:22.806088
Shield/Jockey,16:52:23.108537
Slow Dribble,16:52:23.492091
Shoot/Volley/Header,16:52:24.321574
Shoot/Volley/Header,16:52:24.846139
Through Pass,16:52:25.796053
lofted Ground Pass,16:52:26.984838
Ground Pass/Header,16:52:28.424420
Through Pass,16:52:29.736047
Through Pass,16:52:30.854092
Shield/Jockey,16:52:33.711228
Strafe Dribble,16:52:34.098537
Shield/Jockey,16:52:35.325660
Slow Dribble,16:52:35.793585
Strafe Dribble,16:52:36.776835
Shield/Jockey,16:52:37.122236
Slow Dribble,16:52:37.619341
Strafe Dribble,16:52:38.059519
Shield/Jockey,16:52:38.505482
Strafe Dribble,16:52:38.858143
Shield/Jockey,16:52:39.286724
Slow Dribble,16:52:39.513324
Strafe Dribble,16:52:40.388447
Shield/Jockey,16:52:40.897569
Strafe Dribble,16:52:41.564750
Shield/Jockey,16:52:42.623028
Slow Dribble,16:52:42.878128
Shield/Jockey,16:52:43.673029
